0,1,2,3,time,classifier,pseudotime_index,pseudotime
0.56566215,0.17719878,0.16883056,0.08830854,3,c1_0,3,0.8042416
0.46465477,0.20719898,0.20821282,0.119933434,7,c1_0,7,0.806724
0.3582572,0.21094784,0.30688342,0.12391157,11,c1_0,11,0.8094284
0.40554816,0.2351419,0.22123395,0.13807602,15,c1_0,15,0.81074214
0.37431255,0.2444385,0.23412009,0.14712888,19,c1_0,19,0.8116821
0.31948945,0.23164517,0.30177638,0.147089,23,c1_0,23,0.8133058
0.34602454,0.24032734,0.26166478,0.15198338,27,c1_0,27,0.8148066
0.35357273,0.25093532,0.24364763,0.15184425,31,c1_0,31,0.81655234
0.42899725,0.24762358,0.18576212,0.13761707,35,c1_0,35,0.8195341
0.40266156,0.26159516,0.17696926,0.15877405,39,c1_0,39,0.82294726
0.3445142,0.2546614,0.22423351,0.17659087,43,c1_0,43,0.8238628
0.2959214,0.24965863,0.259368,0.19505203,47,c1_0,47,0.8272912
0.2754795,0.24146509,0.2787592,0.20429619,51,c1_0,51,0.8301093
0.28055763,0.23211773,0.29602593,0.19129874,55,c1_0,55,0.8322839
0.28211373,0.23318751,0.29912224,0.18557653,59,c1_0,59,0.83429587
0.2913453,0.2296521,0.30596244,0.17304018,63,c1_0,63,0.8350815
0.29195735,0.2259792,0.3079041,0.1741594,67,c1_0,67,0.8369641
0.29722658,0.22492556,0.315639,0.16220887,71,c1_0,71,0.8388823
0.3039139,0.22285414,0.3246712,0.1485608,75,c1_0,75,0.8394221
0.27288496,0.21513183,0.3405227,0.17146046,79,c1_0,79,0.8409384
0.22776501,0.20023829,0.39192265,0.18007408,83,c1_0,83,0.8429614
0.26517284,0.22241597,0.3110013,0.20140982,87,c1_0,87,0.84507793
0.26800868,0.23599048,0.29647362,0.19952719,91,c1_0,91,0.846564
0.31455532,0.25052416,0.24941409,0.18550643,95,c1_0,95,0.84759885
0.31832373,0.2490732,0.23974128,0.1928618,99,c1_0,99,0.8502942
0.35061663,0.259356,0.21447523,0.17555216,103,c1_0,103,0.85132843
0.41941652,0.2570996,0.18311273,0.14037116,107,c1_0,107,0.8521673
0.4842307,0.24980192,0.15339196,0.11257546,111,c1_0,111,0.8529391
0.52450836,0.24770242,0.13602553,0.091763645,115,c1_0,115,0.85556084
0.5426806,0.24915373,0.12530856,0.08285709,119,c1_0,119,0.8565745
0.5241305,0.25788864,0.13500048,0.08298042,123,c1_0,123,0.8577524
0.59027267,0.24305974,0.09837095,0.068296656,127,c1_0,127,0.8588771
0.62917614,0.23767054,0.07725274,0.055900585,131,c1_0,131,0.86219233
0.61860144,0.24556443,0.07987974,0.055954352,135,c1_0,135,0.8631629
0.5944322,0.26512316,0.082284555,0.0581601,139,c1_0,139,0.8659281
0.6150404,0.25264412,0.07804003,0.05427539,143,c1_0,143,0.86782444
0.5819587,0.27271146,0.08705122,0.05827869,147,c1_0,147,0.8685153
0.58967936,0.27162507,0.08388272,0.054812856,151,c1_0,151,0.86953896
0.5583869,0.28727186,0.09536652,0.058974683,155,c1_0,155,0.8710085
0.6026274,0.26652142,0.084833205,0.046017993,159,c1_0,159,0.8726773
0.61852044,0.24826987,0.087526724,0.04568295,163,c1_0,163,0.8741153
0.53716904,0.29400933,0.111699976,0.057121634,167,c1_0,167,0.87446564
0.59670496,0.2625722,0.0961185,0.04460438,171,c1_0,171,0.8750327
0.65483314,0.22988985,0.08432001,0.030956982,175,c1_0,175,0.8757018
0.48625824,0.28682628,0.15885654,0.068059005,179,c1_0,179,0.8772338
0.48697945,0.29005858,0.15550396,0.06745797,183,c1_0,183,0.8787472
0.5194923,0.27913082,0.142556,0.05882079,187,c1_0,187,0.88018423
0.59090906,0.25427076,0.11240818,0.04241201,191,c1_0,191,0.8807963
0.5578735,0.28012627,0.11521846,0.046781827,195,c1_0,195,0.8819056
0.5736737,0.281391,0.10379659,0.04113871,199,c1_0,199,0.88279045
0.4779251,0.3567768,0.1181282,0.047169894,203,c1_0,203,0.8831111
0.35492536,0.41747257,0.16159788,0.066004135,207,c1_0,207,0.8836748
0.2733757,0.4908052,0.17374308,0.062076084,211,c1_0,211,0.8845
0.328781,0.4126805,0.18147604,0.07706243,215,c1_0,215,0.88543344
0.37689754,0.356213,0.18344247,0.083447,219,c1_0,219,0.8861965
0.3894854,0.32292008,0.19404608,0.09354845,223,c1_0,223,0.88662195
0.2956442,0.35291114,0.22454967,0.12689504,227,c1_0,227,0.8870819
0.32982096,0.33795634,0.20187373,0.13034903,231,c1_0,231,0.8874482
0.3058692,0.34622175,0.21130586,0.13660324,235,c1_0,235,0.88818854
0.259741,0.38810465,0.22549187,0.1266625,239,c1_0,239,0.88947743
0.2625001,0.36723498,0.24252203,0.12774289,243,c1_0,243,0.8899743
0.3161786,0.3333855,0.23534863,0.115087256,247,c1_0,247,0.8907382
0.32092088,0.34824502,0.2287165,0.1021176,251,c1_0,251,0.8914245
0.39101604,0.3347535,0.19608383,0.07814658,255,c1_0,255,0.89206564
0.401843,0.31896544,0.205368,0.073823474,259,c1_0,259,0.8928633
0.39617133,0.30820715,0.21424347,0.08137801,263,c1_0,263,0.89391965
0.45282078,0.28791615,0.19434628,0.06491677,267,c1_0,267,0.894969
0.44149852,0.30371577,0.18834317,0.066442505,271,c1_0,271,0.8954366
0.54074836,0.28563055,0.12873214,0.04488891,275,c1_0,275,0.8962002
0.57196444,0.2722183,0.11950421,0.036313094,279,c1_0,279,0.89642084
0.50058055,0.32209432,0.13196492,0.045360226,283,c1_0,283,0.8971269
0.21705566,0.6003353,0.14289722,0.039711747,287,c1_0,287,0.89751154
0.108109854,0.75759315,0.10502675,0.029270217,291,c1_0,291,0.89800537
0.21481021,0.6543369,0.10002248,0.03083032,295,c1_0,295,0.89871895
0.19958393,0.58455044,0.15554856,0.06031706,299,c1_0,299,0.899576
0.27482948,0.48161298,0.17362092,0.069936514,303,c1_0,303,0.9003967
0.37781277,0.3987172,0.1640656,0.059404366,307,c1_0,307,0.90115416
0.41016534,0.37824753,0.15383032,0.057756852,311,c1_0,311,0.90192634
0.46140715,0.37949753,0.11384574,0.0452496,315,c1_0,315,0.90227175
0.59147364,0.31717795,0.066800326,0.024548057,319,c1_0,319,0.9025168
0.4001069,0.4506015,0.10654208,0.042749595,323,c1_0,323,0.90296054
0.2850621,0.55352527,0.114807285,0.0466053,327,c1_0,327,0.9035328
0.31870487,0.55678546,0.089588314,0.03492135,331,c1_0,331,0.9037851
0.43416515,0.46024406,0.079142205,0.02644859,335,c1_0,335,0.90443015
0.40633506,0.48689348,0.08136611,0.025405372,339,c1_0,339,0.9046584
0.43754128,0.45690864,0.081095435,0.024454633,343,c1_0,343,0.9051821
0.52125067,0.40075374,0.061177943,0.016817618,347,c1_0,347,0.90536463
0.4520756,0.47655582,0.055405237,0.01596337,351,c1_0,351,0.9057109
0.16900103,0.728714,0.07966717,0.022617793,355,c1_0,355,0.9068693
