sample_number,eval_time,type,0,1,2,3,time,any_bif
0,0.3,forced,0.6877201,0.15764558,0.066258974,0.088375345,0.2984879870818314,0.31227988
0,0.3,neutral,0.41976565,0.17934659,0.13615438,0.26473334,0.2984879870818314,0.5802343
0,0.35,forced,0.8575085,0.105342604,0.01921676,0.017932158,0.3490515258771143,0.14249152
0,0.35,neutral,0.6715074,0.18012005,0.09044126,0.057931297,0.3490515258771143,0.3284926
0,0.39999999999999997,forced,0.021662079,0.58175814,0.09134339,0.3052364,0.3996150646723972,0.97833794
0,0.39999999999999997,neutral,0.90468705,0.08302935,0.007141415,0.005142192,0.3996150646723972,0.09531296
0,0.44999999999999996,forced,0.0015633568,0.5402361,0.10835556,0.34984502,0.4485475215710581,0.9984367
0,0.44999999999999996,neutral,0.9463023,0.0513315,0.0014520196,0.00091410894,0.4485475215710581,0.05369763
0,0.49999999999999994,forced,0.00014153052,0.4044889,0.06558918,0.5297804,0.499111060366341,0.9998585
0,0.49999999999999994,neutral,0.974712,0.022256713,0.002766576,0.0002647796,0.499111060366341,0.025288068
0,0.5499999999999999,forced,3.6910387e-05,0.0140519785,0.062136203,0.9237749,0.5496745991616239,0.9999631
0,0.5499999999999999,neutral,0.83584756,0.030025214,0.13260636,0.0015208634,0.5496745991616239,0.16415243
0,0.5999999999999999,forced,1.7497478e-05,0.0010355668,0.034898445,0.9640485,0.5986070560602847,0.99998254
0,0.5999999999999999,neutral,0.90244675,0.09306786,0.0031288534,0.0013565402,0.5986070560602847,0.09755326
1,0.3,forced,0.30870408,0.3971538,0.061679848,0.23246229,0.2985042979007976,0.6912959
1,0.3,neutral,0.7524157,0.14226964,0.04442303,0.06089163,0.2985042979007976,0.2475843
1,0.35,forced,0.45215964,0.2872231,0.07207226,0.188545,0.3490678366960805,0.54784036
1,0.35,neutral,0.78152865,0.16013257,0.026930556,0.031408194,0.3490678366960805,0.21847132
1,0.39999999999999997,forced,0.06420435,0.54126185,0.10131468,0.2932191,0.3996313754913634,0.9357956
1,0.39999999999999997,neutral,0.78510725,0.16480866,0.02627047,0.023813589,0.3996313754913634,0.21489272
1,0.44999999999999996,forced,0.061820757,0.3334985,0.12115717,0.48352355,0.44856383239002434,0.93817925
1,0.44999999999999996,neutral,0.5599116,0.2837724,0.06204782,0.094268166,0.44856383239002434,0.4400884
1,0.49999999999999994,forced,0.00041185186,0.47443122,0.04425686,0.48090005,0.4991273711853072,0.99958813
1,0.49999999999999994,neutral,0.89857423,0.09249452,0.0057558767,0.0031753033,0.4991273711853072,0.1014257
1,0.5499999999999999,forced,0.00016687144,0.25475535,0.025470411,0.7196074,0.5496909099805901,0.99983317
1,0.5499999999999999,neutral,0.8810442,0.10351013,0.0044347025,0.011011017,0.5496909099805901,0.11895585
1,0.5999999999999999,forced,3.0685565e-05,0.011068606,0.018503293,0.97039735,0.598623366879251,0.99996924
1,0.5999999999999999,neutral,0.9708726,0.02870737,0.00024605705,0.00017395325,0.598623366879251,0.02912738
2,0.3,forced,0.64731985,0.16210419,0.08065152,0.10992442,0.2985206087197638,0.35268015
2,0.3,neutral,0.76197463,0.15780702,0.0239817,0.056236695,0.2985206087197638,0.23802543
2,0.35,forced,0.019406399,0.5428659,0.12185548,0.3158723,0.34908414751504674,0.9805937
2,0.35,neutral,0.6164899,0.17972906,0.067381434,0.1363996,0.34908414751504674,0.38351008
2,0.39999999999999997,forced,0.006319964,0.45147735,0.116985604,0.42521706,0.39964768631032965,0.99368
2,0.39999999999999997,neutral,0.761119,0.15143767,0.03655296,0.050890315,0.39964768631032965,0.23888095
2,0.44999999999999996,forced,0.0015887029,0.2181671,0.07582666,0.7044176,0.44858014320899053,0.99841136
2,0.44999999999999996,neutral,0.8338237,0.13574865,0.011862909,0.018564772,0.44858014320899053,0.16617633
2,0.49999999999999994,forced,0.0031384975,0.23219195,0.039393127,0.7252764,0.49914368200427345,0.99686146
2,0.49999999999999994,neutral,0.88945997,0.100011334,0.004771835,0.0057567963,0.49914368200427345,0.110539965
2,0.5499999999999999,forced,0.00010633478,0.06340522,0.027724976,0.9087635,0.5497072207995564,0.9998937
2,0.5499999999999999,neutral,0.8786602,0.11174001,0.0049586366,0.004641211,0.5497072207995564,0.12133986
2,0.5999999999999999,forced,0.00010055343,0.018056449,0.021103773,0.96073925,0.5986396776982172,0.9998995
2,0.5999999999999999,neutral,0.96341455,0.036120474,0.00021794818,0.00024698238,0.5986396776982172,0.036585405
3,0.3,forced,0.61512136,0.16123039,0.07705008,0.14659813,0.29853691953873,0.3848786
3,0.3,neutral,0.66045296,0.15485564,0.0767184,0.10797296,0.29853691953873,0.33954698
3,0.35,forced,0.72916687,0.16325913,0.03779191,0.06978209,0.34910045833401293,0.27083313
3,0.35,neutral,0.43809223,0.23077755,0.1209292,0.21020103,0.34910045833401293,0.56190777
3,0.39999999999999997,forced,0.09109895,0.44162568,0.07980949,0.38746583,0.39966399712929584,0.908901
3,0.39999999999999997,neutral,0.63433474,0.22949228,0.052110333,0.08406265,0.39966399712929584,0.36566526
3,0.44999999999999996,forced,0.4312876,0.23532906,0.09415359,0.23922977,0.44859645402795667,0.5687124
3,0.44999999999999996,neutral,0.9252636,0.06900968,0.0030656185,0.0026610855,0.44859645402795667,0.07473638
3,0.49999999999999994,forced,0.032081317,0.30066913,0.12204802,0.54520154,0.49915999282323964,0.9679187
3,0.49999999999999994,neutral,0.93091124,0.06540163,0.0019145437,0.0017725459,0.49915999282323964,0.06908872
